Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
orhangen-parla-drop,Pärlörhängen 'Droppe',"<p>Klassiska droppformade örhängen med en liten sötvattenspärla. Diskreta nog för vardag, fina nog för fest.</p><p><strong>Om denna vintage-pärla:</strong> En kvarglömd klassiker från lagret, aldrig burna, aldrig sålda. Tidlösa pärlor som stått och väntat på sin första ägare sedan varumärket lade ner.</p>",Fyndlådan,Örhängen,"pärla, klassiker, orhangen",TRUE,Title,Default Title,orhangen-parla-drop,1,deny,manual,89.00,249.00,TRUE,TRUE,,1,Pärlörhängen 'Droppe',active
orhangen-guldhoops-liten,Guldhoops 'Mini',"<p>Små ringörhängen i guldton. Den där lagom-storleken som passar till precis allt.</p><p><strong>Om denna vintage-pärla:</strong> Deadstock i sin originalpåse. Små hoops som aldrig hann ut i butik innan lagret tömdes, nu får de äntligen ett öra att sitta på.</p>",Fyndlådan,Örhängen,"hoops, guld, vardag, orhangen",TRUE,Metall,Guld,orhangen-guldhoops-liten-guld,3,deny,manual,95.00,199.00,TRUE,TRUE,,1,Guldhoops 'Mini',active
orhangen-guldhoops-liten,,,,,,,,Silver,orhangen-guldhoops-liten-silver,3,deny,manual,95.00,199.00,TRUE,TRUE,,,,
orhangen-stjarna-stud,Stjärnörhängen 'Twinkle',"<p>Pyttesmå stjärnor i studs-modell. Blänker till precis lagom.</p><p><strong>Om denna vintage-pärla:</strong> Ett fynd ur konkurslagret, små stjärnor som legat orörda i sina fack. Aldrig burna, redo att glittra för första gången.</p>",Fyndlådan,Örhängen,"studs, stjärna, orhangen",TRUE,Title,Default Title,orhangen-stjarna-stud,12,deny,manual,79.00,169.00,TRUE,TRUE,,1,Stjärnörhängen 'Twinkle',active
orhangen-emalj-blomma,Emaljörhängen 'Blom',"<p>Handmålad emaljblomma i varma toner. Retro-vibbar rakt av.</p><p><strong>Om denna vintage-pärla:</strong> Färgstarka emaljblommor som andas 90-tal. Osålt lager från varumärkets sista kollektion, helt oanvända.</p>",Fyndlådan,Örhängen,"emalj, retro, färg, orhangen",TRUE,Title,Default Title,orhangen-emalj-blomma,3,deny,manual,98.00,229.00,TRUE,TRUE,,1,Emaljörhängen 'Blom',active
orhangen-kristall-chandelier,Kristallörhängen 'Chandelier',"<p>Hängande kristaller som fångar ljuset. Festörhängena du inte visste att du behövde.</p><p><strong>Om denna vintage-pärla:</strong> De mest dramatiska i lagret. Kristaller som aldrig fått dansa på ett golv, deadstock som väntar på sin premiär.</p>",Fyndlådan,Örhängen,"kristall, fest, orhangen",TRUE,Title,Default Title,orhangen-kristall-chandelier,2,deny,manual,110.00,299.00,TRUE,TRUE,,1,Kristallörhängen 'Chandelier',active
orhangen-geometrisk-triangel,Örhängen 'Triangel',<p>Rena geometriska trianglar. Minimalistiskt och grafiskt.</p><p><strong>Om denna vintage-pärla:</strong> Grafisk formgivning från en svunnen kollektion. Oanvänt lager som känns förvånansvärt nutida.</p>,Fyndlådan,Örhängen,"geometrisk, minimal, orhangen",TRUE,Metall,Guld,orhangen-geometrisk-triangel-guld,4,deny,manual,85.00,,TRUE,TRUE,,1,Örhängen 'Triangel',active
orhangen-geometrisk-triangel,,,,,,,,Silver,orhangen-geometrisk-triangel-silver,5,deny,manual,85.00,,TRUE,TRUE,,,,
orhangen-mane-halvmane,Halvmåneörhängen 'Luna',"<p>Böjda halvmånar med matt finish. Lite mystiska, väldigt fina.</p><p><strong>Om denna vintage-pärla:</strong> Månar som legat i mörkret på ett lager i åratal. Aldrig burna, nu redo att lysa upp.</p>",Fyndlådan,Örhängen,"måne, matt, orhangen",TRUE,Title,Default Title,orhangen-mane-halvmane,7,deny,manual,92.00,189.00,TRUE,TRUE,,1,Halvmåneörhängen 'Luna',active
orhangen-parla-cluster,Pärlörhängen 'Kluster',"<p>Ett litet kluster av pärlor i olika storlekar. Romantiskt utan att bli sött.</p><p><strong>Om denna vintage-pärla:</strong> Romantik ur ett konkursbo. Pärlkluster som aldrig hann bli någons favorit, förrän nu.</p>",Fyndlådan,Örhängen,"pärla, romantisk, orhangen",TRUE,Title,Default Title,orhangen-parla-cluster,4,deny,manual,105.00,259.00,TRUE,TRUE,,1,Pärlörhängen 'Kluster',active
orhangen-tofs-fringe,Tofsörhängen 'Fringe',"<p>Rörliga tofsar som svänger när du går. Fest i öronen.</p><p><strong>Om denna vintage-pärla:</strong> Deadstock med rörelse. Tofsar som stått stilla i ett lager alldeles för länge, dags att få dem att svaja.</p>",Fyndlådan,Örhängen,"tofs, fest, orhangen",TRUE,Title,Default Title,orhangen-tofs-fringe,5,deny,manual,88.00,179.00,TRUE,TRUE,,1,Tofsörhängen 'Fringe',active
halsband-parla-choker,Pärlchoker 'Nacre',"<p>Kort pärlchoker som sitter fint mot halsen. Den nya klassikern.</p><p><strong>Om denna vintage-pärla:</strong> En choker ur konkurslagret som aldrig fick möta en hals. Oanvänd, i originalskick, redo för comeback.</p>",Fyndlådan,Halsband,"pärla, choker, halsband",TRUE,Title,Default Title,halsband-parla-choker,2,deny,manual,120.00,329.00,TRUE,TRUE,,1,Pärlchoker 'Nacre',active
halsband-guldkedja-fin,Guldkedja 'Fin',"<p>Tunn guldkedja för lagning. Bär ensam eller trassla ihop.</p><p><strong>Om denna vintage-pärla:</strong> Basplagget alla vill ha. Tunna kedjor från ett tömt lager, aldrig burna, alltid rätt.</p>",Fyndlådan,Halsband,"guld, kedja, layering, halsband",TRUE,Metall,Guld,halsband-guldkedja-fin-guld,4,deny,manual,99.00,219.00,TRUE,TRUE,,1,Guldkedja 'Fin',active
halsband-guldkedja-fin,,,,,,,,Silver,halsband-guldkedja-fin-silver,4,deny,manual,99.00,219.00,TRUE,TRUE,,,,
halsband-hjarta-locket,Hjärtmedaljong 'Secret',"<p>Öppningsbar medaljong i hjärtform. Gömställe för ett litet minne.</p><p><strong>Om denna vintage-pärla:</strong> En medaljong utan bild i, ännu. Deadstock som väntar på att få bära ditt hemlighet.</p>",Fyndlådan,Halsband,"medaljong, hjärta, romantisk, halsband",TRUE,Title,Default Title,halsband-hjarta-locket,3,deny,manual,115.00,279.00,TRUE,TRUE,,1,Hjärtmedaljong 'Secret',active
halsband-berlock-mane,Berlockhalsband 'Måne & Stjärna',<p>Kedja med måne- och stjärnberlocker. Himlen runt halsen.</p><p><strong>Om denna vintage-pärla:</strong> Små himlakroppar ur ett konkursbo. Aldrig burna berlocker som legat och drömt på ett lager.</p>,Fyndlådan,Halsband,"berlock, måne, stjärna, halsband",TRUE,Title,Default Title,halsband-berlock-mane,6,deny,manual,108.00,239.00,TRUE,TRUE,,1,Berlockhalsband 'Måne & Stjärna',active
halsband-fargad-sten,Halsband 'Färgad sten',"<p>En enda färgad sten på tunn kedja. Enkelt statement i turkos.</p><p><strong>Om denna vintage-pärla:</strong> Den sista i sitt slag på lagret. En färgsten som aldrig fått fångas av dagsljus, tills nu.</p>",Fyndlådan,Halsband,"sten, statement, färg, halsband",TRUE,Title,Default Title,halsband-fargad-sten,1,deny,manual,125.00,289.00,TRUE,TRUE,,1,Halsband 'Färgad sten',active
halsband-parla-langt,Långt pärlhalsband 'Flapper',<p>Extra långt pärlband att snurra dubbelt. 20-talsenergi hela vägen.</p><p><strong>Om denna vintage-pärla:</strong> Flapper-drömmar från ett tömt lager. Långa pärlrader som aldrig fått en fest att gå på.</p>,Fyndlådan,Halsband,"pärla, långt, retro, halsband",TRUE,Title,Default Title,halsband-parla-langt,4,deny,manual,135.00,349.00,TRUE,TRUE,,1,Långt pärlhalsband 'Flapper',active
halsband-tunn-satellit,Satellitkedja 'Prickig',"<p>Fin kedja med små kulor jämnt fördelade. Diskret men detaljrik.</p><p><strong>Om denna vintage-pärla:</strong> Detaljen som gör skillnad. Satellitkedjor ur deadstock, oanvända och oemotståndliga.</p>",Fyndlådan,Halsband,"kedja, layering, halsband",TRUE,Metall,Guld,halsband-tunn-satellit-guld,5,deny,manual,102.00,,TRUE,TRUE,,1,Satellitkedja 'Prickig',active
halsband-tunn-satellit,,,,,,,,Silver,halsband-tunn-satellit-silver,5,deny,manual,102.00,,TRUE,TRUE,,,,
halsband-emalj-flower-power,Halsband 'Flower Power',"<p>Emaljblomma i glada färger på kort kedja. Ren dopaminstyling.</p><p><strong>Om denna vintage-pärla:</strong> Färgexplosion ur ett konkurslager. En blomma som aldrig fått blomma, förrän på din hals.</p>",Fyndlådan,Halsband,"emalj, blomma, färg, halsband",TRUE,Title,Default Title,halsband-emalj-flower-power,5,deny,manual,118.00,249.00,TRUE,TRUE,,1,Halsband 'Flower Power',active
armband-parla-elastisk,Pärlarmband 'Stretch',"<p>Elastiskt pärlarmband som passar de flesta handleder.</p><p><strong>Om denna vintage-pärla:</strong> Enkelt och älskbart. Elastiska pärlarmband ur deadstock, aldrig burna, alltid redo.</p>",Fyndlådan,Armband,"pärla, vardag, armband",TRUE,Title,Default Title,armband-parla-elastisk,9,deny,manual,79.00,159.00,TRUE,TRUE,,1,Pärlarmband 'Stretch',active
armband-guldlank-chunky,Länkarmband 'Chunky',"<p>Grovt länkarmband i guldton. Ett statement helt själv.</p><p><strong>Om denna vintage-pärla:</strong> Tungt i uttryck, lätt i vikt. Ett länkarmband ur konkurslagret som aldrig hann bli någons signatur.</p>",Fyndlådan,Armband,"länk, guld, statement, armband",TRUE,Metall,Guld,armband-guldlank-chunky-guld,1,deny,manual,110.00,259.00,TRUE,TRUE,,1,Länkarmband 'Chunky',active
armband-guldlank-chunky,,,,,,,,Silver,armband-guldlank-chunky-silver,2,deny,manual,110.00,259.00,TRUE,TRUE,,,,
armband-berlock-charm,Berlockarmband 'Charm',"<p>Armband med små berlocker: hjärta, nyckel och stjärna. Fyll på med minnen.</p><p><strong>Om denna vintage-pärla:</strong> Ett armband som vill samla på minnen. Deadstock med berlocker som aldrig fått en historia, börja din.</p>",Fyndlådan,Armband,"berlock, charm, armband",TRUE,Title,Default Title,armband-berlock-charm,4,deny,manual,105.00,239.00,TRUE,TRUE,,1,Berlockarmband 'Charm',active
armband-tunn-bangle,Tunn bangle 'Enkel',"<p>Slät, tunn bangle att stapla flera av. Enkelheten själv.</p><p><strong>Om denna vintage-pärla:</strong> Byggstenen i varje stack. Tunna banglar ur ett tömt lager, oanvända och oändligt kombinerbara.</p>",Fyndlådan,Armband,"bangle, stapla, armband",TRUE,Metall,Guld,armband-tunn-bangle-guld,7,deny,manual,72.00,,TRUE,TRUE,,1,Tunn bangle 'Enkel',active
armband-tunn-bangle,,,,,,,,Silver,armband-tunn-bangle-silver,7,deny,manual,72.00,,TRUE,TRUE,,,,
armband-emalj-rand,Emaljarmband 'Randigt',"<p>Randig emalj i glada kulörer. Sommar året runt.</p><p><strong>Om denna vintage-pärla:</strong> Solsken på burk. Randiga emaljarmband ur konkurslagret, aldrig burna, alltid glada.</p>",Fyndlådan,Armband,"emalj, färg, sommar, armband",TRUE,Title,Default Title,armband-emalj-rand,5,deny,manual,88.00,189.00,TRUE,TRUE,,1,Emaljarmband 'Randigt',active
armband-kristall-tennis,Kristallarmband 'Tennis',"<p>Rad av glittrande kristaller hela vägen runt. Diskret lyx-känsla.</p><p><strong>Om denna vintage-pärla:</strong> Glitter ur ett konkursbo. Ett tennisarmband som aldrig fått blänka på en handled, dags att ändra på det.</p>",Fyndlådan,Armband,"kristall, glitter, fest, armband",TRUE,Title,Default Title,armband-kristall-tennis,2,deny,manual,129.00,319.00,TRUE,TRUE,,1,Kristallarmband 'Tennis',active
armband-flatat-lader,Läderarmband 'Flätat',"<p>Flätat läder med liten gulddetalj. Ledig och lite tuff.</p><p><strong>Om denna vintage-pärla:</strong> Råare i tonen. Flätade läderarmband ur deadstock, oanvända, redo för vardagsslitage.</p>",Fyndlådan,Armband,"läder, ledig, armband",TRUE,Title,Default Title,armband-flatat-lader,11,deny,manual,69.00,149.00,TRUE,TRUE,,1,Läderarmband 'Flätat',active
armband-parla-dubbel,Pärlarmband 'Dubbelt',"<p>Två rader pärlor för lite extra. Klassiskt med volym.</p><p><strong>Om denna vintage-pärla:</strong> Dubbelt upp ur lagret. Pärlarmband i två rader som aldrig fått pryda en arm, förrän din.</p>",Fyndlådan,Armband,"pärla, klassiker, armband",TRUE,Title,Default Title,armband-parla-dubbel,6,deny,manual,94.00,199.00,TRUE,TRUE,,1,Pärlarmband 'Dubbelt',active
ovrigt-fotlank-parla,Fotlänk 'Sommarpärla',"<p>Fin fotlänk med små pärlor. Sandaler och sommar väntar.</p><p><strong>Om denna vintage-pärla:</strong> Semesterkänsla ur deadstock. Fotlänkar som aldrig fått känna varm asfalt, nu är det dags.</p>",Fyndlådan,Övrigt,"fotlänk, sommar, ovrigt",TRUE,Title,Default Title,ovrigt-fotlank-parla,7,deny,manual,75.00,159.00,TRUE,TRUE,,1,Fotlänk 'Sommarpärla',active
ovrigt-fotlank-kedja,Fotlänk 'Guldkedja',"<p>Tunn guldkedja för foten. Diskret glitter vid varje steg.</p><p><strong>Om denna vintage-pärla:</strong> Ett litet lyft för fotleden. Guldfotlänkar ur konkurslagret, oanvända och sommarredo.</p>",Fyndlådan,Övrigt,"fotlänk, guld, ovrigt",TRUE,Metall,Guld,ovrigt-fotlank-kedja-guld,2,deny,manual,82.00,169.00,TRUE,TRUE,,1,Fotlänk 'Guldkedja',active
ovrigt-fotlank-kedja,,,,,,,,Silver,ovrigt-fotlank-kedja-silver,3,deny,manual,82.00,169.00,TRUE,TRUE,,,,
ovrigt-brosch-blomma,Brosch 'Blomsteräng',<p>Emaljbrosch i form av en blomma. Sätt på kavajen och lys upp.</p><p><strong>Om denna vintage-pärla:</strong> En riktig vintage-skatt. Broscher ur ett tömt lager som aldrig fått pryda en rockslag.</p>,Fyndlådan,Övrigt,"brosch, emalj, retro, ovrigt",TRUE,Title,Default Title,ovrigt-brosch-blomma,3,deny,manual,98.00,229.00,TRUE,TRUE,,1,Brosch 'Blomsteräng',active
ovrigt-ring-signet,Ring 'Signet',"<p>Slät signetring med matt yta. Cool ensam eller i sällskap.</p><p><strong>Om denna vintage-pärla:</strong> Tidlös form ur deadstock. Signetringar som aldrig fått ett finger att sitta på, än.</p>",Fyndlådan,Övrigt,"ring, minimal, ovrigt",TRUE,Metall,Guld,ovrigt-ring-signet-guld,4,deny,manual,90.00,199.00,TRUE,TRUE,,1,Ring 'Signet',active
ovrigt-ring-signet,,,,,,,,Silver,ovrigt-ring-signet-silver,4,deny,manual,90.00,199.00,TRUE,TRUE,,,,
ovrigt-ring-parla,Ring 'Pärla',<p>Enkel ring med en enda pärla. Söt och lätt att bära.</p><p><strong>Om denna vintage-pärla:</strong> En pärla för fingret. Ringar ur konkurslagret som legat orörda i sina askar.</p>,Fyndlådan,Övrigt,"ring, pärla, ovrigt",TRUE,Title,Default Title,ovrigt-ring-parla,4,deny,manual,85.00,179.00,TRUE,TRUE,,1,Ring 'Pärla',active
ovrigt-harspanne-parla,Hårspänne 'Pärlrad',"<p>Hårspänne dekorerat med pärlor. Snabb uppgradering av frisyren.</p><p><strong>Om denna vintage-pärla:</strong> Detaljen håret väntat på. Pärlspännen ur deadstock, aldrig använda, alltid redo för en dålig hårdag.</p>",Fyndlådan,Övrigt,"hår, pärla, ovrigt",TRUE,Title,Default Title,ovrigt-harspanne-parla,10,deny,manual,68.00,139.00,TRUE,TRUE,,1,Hårspänne 'Pärlrad',active
ovrigt-brosch-fjaril,Brosch 'Fjäril',"<p>Glittrig fjärilsbrosch. Y2K-nostalgi i högsta grad.</p><p><strong>Om denna vintage-pärla:</strong> Rakt ur tidskapseln. Fjärilsbroscher ur ett konkursbo som aldrig fått flyga, dags att släppa loss dem.</p>",Fyndlådan,Övrigt,"brosch, y2k, glitter, ovrigt",TRUE,Title,Default Title,ovrigt-brosch-fjaril,2,deny,manual,95.00,209.00,TRUE,TRUE,,1,Brosch 'Fjäril',active
ovrigt-smyckesask-mini,Nyckelring 'Charm',"<p>Nyckelring med små berlocker. Lite smycke även på nyckelknippan.</p><p><strong>Om denna vintage-pärla:</strong> Smycke för nycklarna. Berlock-nyckelringar ur deadstock, oanvända och redo att skramla.</p>",Fyndlådan,Övrigt,"nyckelring, charm, ovrigt",TRUE,Title,Default Title,ovrigt-smyckesask-mini,9,deny,manual,65.00,129.00,TRUE,TRUE,,1,Nyckelring 'Charm',active
ovrigt-slojd-solglasogonkedja,Glasögonkedja 'Pärla',<p>Pärlkedja för solglasögonen. Praktiskt och snyggt på samma gång.</p><p><strong>Om denna vintage-pärla:</strong> Sommarens smartaste accessoar ur ett tömt lager. Glasögonkedjor som aldrig fått hänga runt en hals.</p>,Fyndlådan,Övrigt,"kedja, sommar, praktisk, ovrigt",TRUE,Title,Default Title,ovrigt-slojd-solglasogonkedja,6,deny,manual,78.00,169.00,TRUE,TRUE,,1,Glasögonkedja 'Pärla',active
